code,name,area,type
54200,Kalamunda (C),324.2957,lga
54280,Kalgoorlie/Boulder (C),95498.052,lga
54310,Karratha (C),15237.3974,lga
54340,Katanning (S),1518.1854,lga
54410,Kellerberrin (S),1915.433,lga
54480,Kent (S),5624.5818,lga
54550,Kojonup (S),2930.9926,lga
54620,Kondinin (S),7440.8016,lga
54690,Koorda (S),2832.3131,lga
54760,Kulin (S),4718.9219,lga
54830,Kwinana (C),120.0121,lga
54900,Lake Grace (S),11886.3199,lga
54970,Laverton (S),179984.601,lga
55040,Leonora (S),31915.0562,lga
55110,Mandurah (C),174.8967,lga
55180,Manjimup (S),7029.6077,lga
55250,Meekatharra (S),100188.5477,lga
55320,Melville (C),52.8506,lga
55390,Menzies (S),124110.9368,lga
55460,Merredin (S),3293.7824,lga
55530,Mingenew (S),1934.8857,lga
55600,Moora (S),3763.0254,lga
55670,Morawa (S),3510.5928,lga
55740,Mosman Park (T),4.3472,lga
55810,Mount Magnet (S),13858.1182,lga
55880,Mount Marshall (S),10184.5937,lga
55950,Mukinbudin (S),3426.9441,lga
56090,Mundaring (S),643.2013,lga
56160,Murchison (S),45046.0922,lga
56230,Murray (S),1703.4688,lga
56300,Nannup (S),3053.9361,lga
56370,Narembeen (S),3809.0285,lga
56460,Narrogin (S),1631.3024,lga
56580,Nedlands (C),19.645,lga
56620,Ngaanyatjarraku (S),159821.7026,lga
56730,Northam (S),1431.2215,lga
56790,Northampton (S),12543.7142,lga
56860,Nungarin (S),1166.0245,lga
56930,Peppermint Grove (S),1.0677,lga
57000,Perenjori (S),8301.3551,lga
57080,Perth (C),13.7193,lga
57140,Pingelly (S),1294.5721,lga
57210,Plantagenet (S),4876.6821,lga
57280,Port Hedland (T),18417.0777,lga
57350,Quairading (S),2016.9269,lga
57420,Ravensthorpe (S),9841.7503,lga
57490,Rockingham (C),257.497,lga
57630,Sandstone (S),32605.2911,lga
57700,Serpentine-Jarrahdale (S),901.2056,lga
57770,Shark Bay (S),24201.2466,lga
57840,South Perth (C),19.8116,lga
57910,Stirling (C),104.727,lga
57980,Subiaco (C),5.6182,lga
58050,Swan (C),1042.9933,lga
58190,Tammin (S),1101.692,lga
58260,Three Springs (S),2656.6928,lga
58330,Toodyay (S),1691.6486,lga
58400,Trayning (S),1651.2043,lga
58470,Upper Gascoyne (S),57809.8737,lga
58510,Victoria Park (T),17.9397,lga
58540,Victoria Plains (S),2551.0132,lga
58570,Vincent (C),11.3769,lga
58610,Wagin (S),1946.1763,lga
58680,Wandering (S),1903.8645,lga
58760,Wanneroo (C),683.2603,lga
58820,Waroona (S),832.2286,lga
58890,West Arthur (S),2831.8272,lga
59030,Westonia (S),3319.4497,lga
59100,Wickepin (S),2040.8985,lga
59170,Williams (S),2304.7119,lga
59250,Wiluna (S),181297.3382,lga
59310,Wongan-Ballidu (S),3365.0675,lga
59320,Woodanilling (S),1128.8348,lga
59330,Wyalkatchem (S),1594.4885,lga
59340,Wyndham-East Kimberley (S),112065.9843,lga
59350,Yalgoo (S),27949.4641,lga
59360,Yilgarn (S),30428.765,lga
59370,York (S),2131.5916,lga
60210,Break O'Day (M),3523.8859,lga
60410,Brighton (M),171.1508,lga
60610,Burnie (C),610.9529,lga
60810,Central Coast (M) (Tas.),933.0892,lga
61010,Central Highlands (M) (Tas.),7982.4155,lga
61210,Circular Head (M),4898.011,lga
61410,Clarence (C),377.9552,lga
61510,Derwent Valley (M),4108.1112,lga
61610,Devonport (C),111.259,lga
61810,Dorset (M),3230.5456,lga
62010,Flinders (M) (Tas.),1996.6244,lga
62210,George Town (M),653.4377,lga
62410,Glamorgan/Spring Bay (M),2591.5618,lga
62610,Glenorchy (C),121.1483,lga
62810,Hobart (C),77.9097,lga
63010,Huon Valley (M),5507.3541,lga
63210,Kentish (M),1156.1887,lga
63410,King Island (M),1095.7407,lga
63610,Kingborough (M),720.1029,lga
63810,Latrobe (M) (Tas.),600.4617,lga
64010,Launceston (C),1413.6306,lga
64210,Meander Valley (M),3330.8145,lga
64610,Northern Midlands (M),5135.2503,lga
64810,Sorell (M),583.7776,lga
65010,Southern Midlands (M),2615.4934,lga
65210,Tasman (M),660.3947,lga
65410,Waratah/Wynyard (M),3535.9075,lga
65610,West Coast (M),9583.5388,lga
65810,West Tamar (M),691.147,lga
70200,Alice Springs (T),327.7133,lga
70420,Barkly (R),322713.2188,lga
70540,Belyuen (S),41.4054,lga
70620,Central Desert (R),281312.0262,lga
70700,Coomalie (S),2056.0547,lga
71000,Darwin (C),111.318,lga
71300,East Arnhem (R),33309.9334,lga
72200,Katherine (T),7416.6444,lga
72300,Litchfield (M),2903.1459,lga
72330,MacDonnell (R),268329.3474,lga
72800,Palmerston (C),52.6559,lga
73600,Roper Gulf (R),185210.2475,lga
74050,Tiwi Islands (R),7483.1661,lga
74550,Victoria Daly (R),153287.0839,lga
74560,Wagait (S),5.6378,lga
74660,West Arnhem (R),49675.0343,lga
74680,West Daly (R),14069.6979,lga
79399,Unincorporated NT,19789.9972,lga
89399,Unincorporated ACT,2358.172,lga
99399,Unincorp. Other Territories,256.3162,lga
101021007,Braidwood,3418.3525,sa2
101021008,Karabar,6.9825,sa2
101021009,Queanbeyan,4.7634,sa2
101021010,Queanbeyan - East,13.0034,sa2
101021011,Queanbeyan Region,3054.4099,sa2
101021012,Queanbeyan West - Jerrabomberra,13.6789,sa2
101031013,Bombala,3989.3618,sa2
101031014,Cooma,103.6371,sa2
101031015,Cooma Region,6250.8748,sa2
101031016,Jindabyne - Berridale,3939.5484,sa2
101041017,Batemans Bay,63.7074,sa2
101041018,Batemans Bay - South,30.5948,sa2
101041019,Bega - Tathra,183.8985,sa2
101041020,Bega-Eden Hinterland,4710.2068,sa2
101041021,Broulee - Tomakin,24.2329,sa2
101041022,Deua - Wadbilliga,2781.9988,sa2
101041023,Eden,94.8138,sa2
101041024,Eurobodalla Hinterland,1460.0117,sa2
101041025,Merimbula - Tura Beach,97.3395,sa2
101041026,Moruya - Tuross Head,165.4118,sa2
101041027,Narooma - Bermagui,252.652,sa2
101051539,Goulburn,64.7865,sa2
101051540,Goulburn Region,9035.1221,sa2
101061541,Yass,99.7342,sa2
101061542,Yass Region,5680.8782,sa2
101061543,Young,505.7528,sa2
101061544,Young Region,5849.8086,sa2
102011028,Avoca Beach - Copacabana,6.4376,sa2
102011029,Box Head - MacMasters Beach,32.086,sa2
102011030,Calga - Kulnura,767.9512,sa2
102011031,Erina - Green Point,33.7934,sa2
102011032,Gosford - Springfield,16.9124,sa2
102011033,Kariong,8.3063,sa2
102011034,Kincumber - Picketts Valley,12.0887,sa2
102011035,Narara,7.7021,sa2
102011036,Niagara Park - Lisarow,16.7316,sa2
102011037,Point Clare - Koolewong,6.7874,sa2
102011038,Saratoga - Davistown,4.7683,sa2
102011039,Terrigal - North Avoca,10.1073,sa2
102011040,Umina - Booker Bay - Patonga,25.2284,sa2
102011041,Wamberal - Forresters Beach,13.7221,sa2
102011042,Woy Woy - Blackwall,17.4225,sa2
102011043,Wyoming,8.381,sa2
102021044,Bateau Bay - Killarney Vale,10.8595,sa2
102021045,Blue Haven - San Remo,20.9797,sa2
102021046,Budgewoi - Buff Point - Halekulani,9.3531,sa2
102021047,Chittaway Bay - Tumbi Umbi,24.4986,sa2
102021048,Gorokan - Kanwal - Charmhaven,11.249,sa2
102021049,Jilliby - Yarramalong,346.7662,sa2
102021050,Lake Munmorah - Mannering Park,35.4946,sa2
102021051,Ourimbah - Fountaindale,114.1172,sa2
102021052,Summerland Point - Gwandalan,9.1793,sa2
102021053,The Entrance,13.8576,sa2
102021054,Toukley - Norah Head,10.5216,sa2
102021055,Tuggerah - Kangy Angy,27.8463,sa2
102021056,Warnervale - Wadalba,42.89,sa2
102021057,Wyong,15.0334,sa2
103011058,Bathurst,119.5048,sa2
103011059,Bathurst - East,94.0341,sa2
103011060,Bathurst Region,3798.2628,sa2
103011061,Oberon,2972.3813,sa2
103021062,Condobolin,15858.8501,sa2
103021063,Cowra,242.201,sa2
103021064,Cowra Region,3037.1557,sa2
103021065,Forbes,4598.0438,sa2
103021066,Grenfell,3294.0766,sa2
103021067,Parkes (NSW),234.7556,sa2
103021068,Parkes Region,5418.1649,sa2
103021069,West Wyalong,8317.4729,sa2
103031070,Lithgow,119.9844,sa2
103031071,Lithgow Region,2514.07,sa2
103031072,Mudgee,65.8948,sa2
103031073,Mudgee Region - East,2852.0843,sa2
103031074,Mudgee Region - West,8043.8635,sa2
103031075,Wollangambe - Wollemi,2448.7276,sa2
103041076,Blayney,1642.6748,sa2
103041077,Orange,45.2499,sa2
103041078,Orange - North,99.5118,sa2
103041079,Orange Region,4480.0957,sa2
104011080,Grafton,106.2537,sa2
104011081,Grafton Region,8445.8909,sa2
104011082,Maclean - Yamba - Iluka,711.0493,sa2
104021083,Bellingen,1001.0481,sa2
104021084,Coffs Harbour - North,25.6688,sa2
104021085,Coffs Harbour - South,33.6996,sa2
104021086,Coramba - Nana Glen - Bucca,363.909,sa2
104021087,Dorrigo,1987.6714,sa2
104021088,Korora - Emerald Beach,57.6881,sa2
104021089,Sawtell - Boambee,118.2251,sa2
104021090,Urunga,108.4124,sa2
104021091,Woolgoolga - Arrawarra,270.2414,sa2
105011092,Bourke - Brewarrina,56843.6928,sa2
105011093,Cobar,45551.3981,sa2
105011094,Coonamble,12142.3534,sa2
105011095,Nyngan - Warren,21216.0023,sa2
105011096,Walgett - Lightning Ridge,27011.6794,sa2
105021097,Broken Hill,170.1153,sa2
105021098,Far West,146690.0605,sa2
105031099,Coonabarabran,10474.1332,sa2
105031100,Dubbo - East,87.6912,sa2
105031101,Dubbo - South,25.4336,sa2
105031102,Dubbo - West,69.4359,sa2
105031103,Dubbo Region,4128.5683,sa2
105031104,Gilgandra,5393.4381,sa2
105031105,Narromine,5956.2535,sa2
105031106,Wellington,3603.4369,sa2
106011107,Branxton - Greta - Pokolbin,392.2861,sa2
106011108,Cessnock,68.9813,sa2
106011109,Cessnock Region,1570.4341,sa2
106011110,Dungog,2249.9983,sa2
106011111,Kurri Kurri - Abermain,90.6145,sa2
106011112,Singleton,127.2317,sa2
106011113,Singleton Region,4067.2349,sa2
106021114,Maitland,32.079,sa2
106021115,Maitland - East,40.5895,sa2
106021116,Maitland - North,70.5477,sa2
106021117,Maitland - West,175.4357,sa2
106021118,Thornton - Millers Forest,61.4649,sa2
106031119,Anna Bay,68.05,sa2
106031120,Lemon Tree Passage - Tanilba Bay,29.9822,sa2
106031121,Nelson Bay Peninsula,47.4762,sa2
106031122,Raymond Terrace,109.4864,sa2
106031123,Seaham - Woodville,247.4836,sa2
106031124,Tea Gardens - Hawks Nest,204.3164,sa2
106031125,Williamtown - Medowie - Karuah,365.182,sa2
